Jaar;Maand;SyriÃ«;Nederland;Polen
2015;januari;1,766;2,265;1,864
2015;februari;1,501;1,797;1,866
2015;maart;1,484;2,060;2,027
2015;april;1,541;1,805;1,651
2015;mei;1,325;1,628;1,559
2015;juni;1,387;2,600;2,010
2015;juli;1,753;3,622;2,141
2015;augustus;1,584;3,542;1,946
2015;september;1,825;2,798;2,349
2015;oktober;2,161;2,125;2,141
2015;november;2,196;1,892;1,893
2015;december;2,390;2,210;1,458
2016;januari;2,469;2,238;1,721
2016;februari;2,806;2,014;2,137
2016;maart;2,811;2,168;1,854
2016;april;2,556;1,914;1,809

