Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
45,A,Sitka,YC4_12,TRUE,AGEID0,406,0,0,DISTID3,DISTID1
45,A,Sitka,YC13_16,TRUE,AGEID0,276,0,0,DISTID3,DISTID1
45,B,Sitka,YC17_20,TRUE,AGEID0,95,0,0,DISTID3,DISTID1
45,C,Sitka,YC20_24,TRUE,AGEID0,486,0,0,DISTID3,DISTID1
45,D,Sitka,YC24_30,TRUE,AGEID0,101,0,0,DISTID3,DISTID1
55,E,CBmix,YC10,TRUE,AGEID0,128,0,0,DISTID3,DISTID1
55,E,OC,YC10,TRUE,AGEID0,125,0,0,DISTID3,DISTID1
55,E,FGB,YC6,TRUE,AGEID0,159,0,0,DISTID3,DISTID1
55,B,OC,YC10,TRUE,AGEID0,223,0,0,DISTID3,DISTID1
55,B,Pine,YC4_12,TRUE,AGEID0,47,0,0,DISTID3,DISTID1
55,A,Pine,YC12_20,TRUE,AGEID0,455,0,0,DISTID3,DISTID1
55,E,SGB,YC6,TRUE,AGEID0,227,0,0,DISTID3,DISTID1
55,A,Sitka,YC4_12,TRUE,AGEID0,406,0,0,DISTID3,DISTID1
55,A,Sitka,YC13_16,TRUE,AGEID0,276,0,0,DISTID3,DISTID1
55,B,Sitka,YC17_20,TRUE,AGEID0,95,0,0,DISTID3,DISTID1
55,C,Sitka,YC20_24,TRUE,AGEID0,486,0,0,DISTID3,DISTID1
55,D,Sitka,YC24_30,TRUE,AGEID0,101,0,0,DISTID3,DISTID1
65,E,CBmix,YC10,TRUE,AGEID0,128,0,0,DISTID3,DISTID1
65,E,OC,YC10,TRUE,AGEID0,125,0,0,DISTID3,DISTID1
65,E,FGB,YC6,TRUE,AGEID0,159,0,0,DISTID3,DISTID1
65,B,OC,YC10,TRUE,AGEID0,223,0,0,DISTID3,DISTID1
65,B,Pine,YC4_12,TRUE,AGEID0,47,0,0,DISTID3,DISTID1
65,A,Pine,YC12_20,TRUE,AGEID0,455,0,0,DISTID3,DISTID1
65,E,SGB,YC6,TRUE,AGEID0,227,0,0,DISTID3,DISTID1
65,A,Sitka,YC4_12,TRUE,AGEID0,406,0,0,DISTID3,DISTID1
65,A,Sitka,YC13_16,TRUE,AGEID0,276,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID0,128,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID0,125,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID0,159,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID0,223,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID0,47,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID0,455,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID0,227,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID0,406,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID0,276,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID0,95,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID0,486,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID0,101,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID0,128,0,0,DISTID3,DISTID1
45,E,OC,YC10,TRUE,AGEID0,125,0,0,DISTID3,DISTID1
45,E,FGB,YC6,TRUE,AGEID0,159,0,0,DISTID3,DISTID1
45,B,OC,YC10,TRUE,AGEID0,223,0,0,DISTID3,DISTID1
45,B,Pine,YC4_12,TRUE,AGEID0,47,0,0,DISTID3,DISTID1
45,A,Pine,YC12_20,TRUE,AGEID0,455,0,0,DISTID3,DISTID1
45,E,SGB,YC6,TRUE,AGEID0,227,0,0,DISTID3,DISTID1
65,B,Sitka,YC17_20,TRUE,AGEID0,95,0,0,DISTID3,DISTID1
65,C,Sitka,YC20_24,TRUE,AGEID0,486,0,0,DISTID3,DISTID1
65,D,Sitka,YC24_30,TRUE,AGEID0,101,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID2,273,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID3,545,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID4,727,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID5,182,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID6,545,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID7,182,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID8,364,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID9,182,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID10,273,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID12,364,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID14,182,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID18,91,0,0,DISTID3,DISTID1
35,E,CBmix,YC10,TRUE,AGEID20,273,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID2,364,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID3,545,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID4,1091,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID5,273,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID6,1000,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID7,818,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID8,182,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID9,273,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID11,273,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID12,182,0,0,DISTID3,DISTID1
35,E,OC,YC10,TRUE,AGEID18,91,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID1,833,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID2,1727,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID3,1636,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID4,2364,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID5,1000,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID6,2091,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID7,2000,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID8,1818,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID9,1182,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID10,1455,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID11,636,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID12,2909,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID14,909,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID16,1091,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID18,818,0,0,DISTID3,DISTID1
35,E,FGB,YC6,TRUE,AGEID20,1091,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID2,182,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID3,636,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID4,455,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID5,636,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID6,455,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID7,273,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID8,364,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID10,182,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID11,182,0,0,DISTID3,DISTID1
35,B,OC,YC10,TRUE,AGEID16,91,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID1,470,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID2,182,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID3,91,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID6,182,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID7,545,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID8,727,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID10,273,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID11,182,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID12,364,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID14,273,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID16,91,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID18,91,0,0,DISTID3,DISTID1
35,A,Pine,YC12_20,TRUE,AGEID20,182,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID1,561,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID2,364,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID3,455,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID4,455,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID5,91,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID6,455,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID7,1364,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID8,2091,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID9,273,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID10,455,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID11,91,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID12,273,0,0,DISTID3,DISTID1
35,B,Pine,YC4_12,TRUE,AGEID14,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID2,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID3,182,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID5,182,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID6,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID7,273,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID8,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID9,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID10,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID11,91,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID12,727,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID14,545,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID16,273,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID18,182,0,0,DISTID3,DISTID1
35,E,SGB,YC6,TRUE,AGEID20,1909,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID2,91,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID3,182,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID4,273,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID5,273,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID6,1818,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID7,1636,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID8,1182,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID9,1455,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID10,1182,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID12,182,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID14,182,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID18,91,0,0,DISTID3,DISTID1
35,A,Sitka,YC4_12,TRUE,AGEID20,91,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID2,364,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID3,545,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID4,545,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID5,364,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID6,1545,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID7,1091,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID8,1636,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID9,1727,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID10,273,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID12,273,0,0,DISTID3,DISTID1
35,A,Sitka,YC13_16,TRUE,AGEID14,91,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID1,364,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID2,909,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID3,1818,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID4,1364,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID5,909,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID6,2545,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID7,909,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID8,1000,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID9,1091,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID10,182,0,0,DISTID3,DISTID1
35,B,Sitka,YC17_20,TRUE,AGEID11,91,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID1,652,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID2,1364,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID3,1909,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID4,2818,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID5,2818,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID6,4636,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID7,909,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID8,545,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID9,182,0,0,DISTID3,DISTID1
35,C,Sitka,YC20_24,TRUE,AGEID10,91,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID1,470,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID2,818,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID3,909,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID4,273,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID5,455,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID6,455,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID7,91,0,0,DISTID3,DISTID1
35,D,Sitka,YC24_30,TRUE,AGEID12,91,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID2,273,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID3,545,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID4,727,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID5,182,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID6,545,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID7,182,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID8,364,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID9,182,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID10,273,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID11,364,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID12,364,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID14,182,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID18,91,0,0,DISTID3,DISTID1
45,E,CBmix,YC10,TRUE,AGEID20,273,0,0,DISTID3,DISTID1
45,E,OC,YC10,TRUE,AGEID1,288,0,0,DISTID3,DISTID1
45,E,OC,YC10,TRUE,AGEID2,364,0,0,DISTID3,DISTID1
